yosyshq_appnote_123_cv32e40x-p320.aig 10.10
yosyshq_appnote_123_cv32e40x-p217.aig 10.16
vis_arrays_vsa16a_p6.aig 0.24
yosyshq_appnote_123_cv32e40x-p512.aig 8.50
qspiflash_dualflexpress_divfive-p114.aig 19.98
qspiflash_dualflexpress_divthree-p160.aig 14.21
yosyshq_appnote_123_cv32e40x-p334.aig 9.43
yosyshq_appnote_123_cv32e40x-p187.aig 12.11
phases_2-1.aig 0.70
Problem101_label01.aig 60.08
yosyshq_appnote_123_cv32e40x-p418.aig 106.84
anderson.3.prop1-func-interl.aig 1.52
yosyshq_appnote_123_cv32e40x-p281.aig 454.98
ILA_Piccolo_BGEU_sanity.aig 52.73
Problem05_label46+token_ring.12.cil-1.aig 6.65
ILA_Flute_SLTI_sanity.aig Timeout
yosyshq_appnote_123_cv32e40x-p665.aig 16.47
gen103.aig 1.79
yosyshq_appnote_123_cv32e40x-p753.aig Timeout
rocket_2045.aig 36.80
Problem11_label40.aig Timeout
yosyshq_appnote_123_cv32e40x-p760.aig Timeout
a16-p018.aig 763.75
ILA_Ridecore_ANDI_sanity.aig 16.04
yosyshq_appnote_123_cv32e40x-p388.aig 642.22
yosyshq_appnote_123_cv32e40x-p545.aig Timeout
picorv32_mutCX_nomem-p1.aig Timeout
yosyshq_appnote_123_cv32e40x-p156.aig 14.53
ILA_Piccolo_LHU_sanity.aig 3.05
a10-p34.aig Timeout
yosyshq_appnote_123_cv32e40x-p061.aig Timeout
Problem17.aig Failed
gcd_2+newton_3_7.aig 74.66
yosyshq_appnote_123_cv32e40x-p568.aig 147.77
dijkstra-u_valuebound1.aig 66.91
yosyshq_appnote_123_cv32e40x-p365.aig Timeout
yosyshq_appnote_123_cv32e40x-p465.aig Timeout
yosyshq_appnote_123_cv32e40x-p599.aig Timeout
ILA_Piccolo_LW_sanity.aig 4.39
yosyshq_appnote_123_cv32e40x-p250.aig 16.72
rocket_1961.aig 156.30
ridecore.aig Timeout
qspiflash_dualflexpress_divthree-p132.aig 0.26
deep-nested.aig Timeout
minepump_spec1_product14.cil.aig 0.39
zonotope_2.aig 85.51
ILA_Flute_LB_problem.aig Timeout
a16-p041.aig 0.44
token_ring.03.cil-2.aig 158.55
ILA_Ridecore_AND_sanity.aig 17.14
brp2.3.prop2-func-interl.aig 3.19
Problem13_label23.aig 151.63
picorv32-check-p09.aig 0.77
arbitrated_top_n5_w128_d128_e0.aig Timeout
yosyshq_appnote_123_cv32e40x-p413.aig 9.80
ILA_Ridecore_SLT_sanity.aig 15.33
yosyshq_appnote_123_cv32e40x-p246.aig Timeout
trex02-1.aig 0.28
a16-p126.aig 0.39
lcm2_unwindbound50.aig Timeout
a16-p057.aig Timeout
yosyshq_appnote_123_cv32e40x-p502.aig 12.05
zipcpu-zipmmu-p27.aig 0.31
yosyshq_appnote_123_veer_axi-p32.aig 7.91
ILA_Piccolo_SW_sanity.aig 3.32
pgm_protocol.7.prop2-back-serstep.aig Timeout
up.aig Timeout
qspiflash_qflexpress_divfive-p093.aig 20.79
yosyshq_appnote_123_cv32e40x-p417.aig Timeout
zipcpu-busdelay-p10.aig 0.51
minepump_spec2_product54.cil.aig 1.82
ILA_Flute_AND_problem.aig Timeout
Problem16_label07.aig 32.68
vis_arrays_bpbs_p2.aig 0.31
Problem18_label15.aig Timeout
