gen102.btor 0.32
rast-p03.btor 0.36
gen25.btor 0.37
a19-p15.btor 0.38
psyco_io_1.btor 0.35
zipversa_composecrc_prf-p00.btor 0.41
minepump_spec3_product45.cil.btor 0.46
minepump_spec2_product54.cil.btor 0.43
cal178.btor 0.49
dspfilters_fastfir_second-p24.btor 0.58
zipversa_composecrc_prf-p06.btor 0.66
cal162.btor 0.71
jm2006.c.i.v+cfa-reducer.btor 0.28
cal3.btor 0.38
vis_arrays_am2910_p2.btor 0.40
qspiflash_dualflexpress_divfive-p036.btor 0.83
cal182.btor 0.97
minepump_spec4_product16.cil.btor 0.30
cal27.btor 0.66
float8.btor 1.36
a16-p146.btor 1.43
cal33.btor 0.93
a10-p35.btor 1.93
a16-p126.btor 2.64
pc_sfifo_1.cil-2+token_ring.05.cil-2.btor 10.37
cal78.btor 0.60
simple_alu.btor 0.27
Problem16_label07.btor 16.97
a10-p23.btor 1.89
cal123.btor 24.71
qspiflash_qflexpress_divfive-p023.btor 0.42
zipcpu-pfcache-p02.btor 7.89
zipcpu-zipmmu-p14.btor 36.74
token_ring.03.cil-2.btor 56.43
yosyshq_appnote_123_cv32e40x-p512.btor 60.02
yosyshq_appnote_123_cv32e40x-p413.btor 62.33
qspiflash_dualflexpress_divthree-p158.btor 85.67
rast-p01.btor 0.38
toy_lock_4.btor 237.28
cal140.btor 20.96
picorv32-check-p06.btor 1.11
cal222.btor 275.68
circular_pointer_top_w128_d8_e0.btor 290.67
vgasim_imgfifo-p105.btor 346.93
cal131.btor 383.39
cal229.btor 357.98
qspiflash_qflexpress_divfive-p051.btor 179.47
marlann_compute_cp_fail2-p0.btor 653.25
cal226.btor 875.25
picorv32-check-p09.btor 0.37
qspiflash_dualflexpress_divthree-p075.btor 1000.86
ILA_Piccolo_LHU_sanity.btor 2278.19
qspiflash_dualflexpress_divfive-p112.btor 2320.74
yosyshq_appnote_123_cv32e40x-p564.btor Timeout
qspiflash_dualflexpress_divfive-p135.btor Timeout
gcd.btor Timeout
vgasim_imgfifo-p036.btor Timeout
ILA_Ridecore_LBU_problem.btor Timeout
qspiflash_dualflexpress_divthree-p061.btor Timeout
mono-crafted_8.btor Timeout
arbitrated_top_n4_w128_d64_e0.btor Timeout
yosyshq_appnote_123_cv32e40x-p681.btor Timeout
yosyshq_appnote_123_cv32e40x-p478.btor Timeout
yosyshq_appnote_123_cv32e40x-p167.btor Timeout
picorv32_mutCX_nomem-p3.btor Timeout
qspiflash_dualflexpress_divfive-p007.btor Timeout
arbitrated_top_n4_w128_d16_e0.btor Timeout
leader_election.3.prop1-back-serstep.btor Timeout
yosyshq_appnote_123_veer_axi-p32.btor Timeout
Problem11_label48.btor Timeout
yosyshq_appnote_123_cv32e40x-p724.btor Timeout
dspfilters_fastfir_second-p28.btor Timeout
