a19-p15.btor 0.24
dspfilters_fastfir_second-p24.btor 0.57
zipversa_composecrc_prf-p00.btor 0.63
float8.btor 0.68
gen25.btor 0.68
rast-p03.btor 0.74
gen102.btor 1.47
minepump_spec3_product45.cil.btor 2.04
a16-p146.btor 6.15
minepump_spec2_product54.cil.btor 32.51
yosyshq_appnote_123_cv32e40x-p167.btor 46.09
a10-p35.btor 3.17
pgm_protocol.7.prop1-back-serstep.btor 50.84
qspiflash_dualflexpress_divthree-p075.btor 53.69
psyco_io_1.btor 2.43
cal178.btor 1.77
qspiflash_dualflexpress_divthree-p158.btor 80.96
qspiflash_dualflexpress_divthree-p061.btor 245.77
cal162.btor 445.79
yosyshq_appnote_123_cv32e40x-p413.btor 46.99
marlann_compute_cp_fail2-p0.btor 45.76
circular_pointer_top_w128_d8_e0.btor 1057.10
qspiflash_dualflexpress_divfive-p133.btor 1090.00
zipversa_composecrc_prf-p06.btor 36.62
qspiflash_dualflexpress_divfive-p112.btor 1849.58
zipcpu-zipmmu-p14.btor 130.03
qspiflash_dualflexpress_divfive-p135.btor 2339.47
yosyshq_appnote_123_veer_axi-p32.btor 8.42
cal182.btor 806.73
ILA_Ridecore_LBU_problem.btor Timeout
dspfilters_fastfir_second-p28.btor Timeout
arbitrated_top_n4_w128_d16_e0.btor Timeout
token_ring.03.cil-2.btor Timeout
gcd.btor Timeout
mono-crafted_8.btor Timeout
vgasim_imgfifo-p036.btor Timeout
yosyshq_appnote_123_cv32e40x-p564.btor Timeout
cal222.btor Timeout
cal131.btor Timeout
dspfilters_fastfir_second-p07.btor Timeout
yosyshq_appnote_123_cv32e40x-p478.btor Timeout
qspiflash_dualflexpress_divfive-p036.btor Timeout
yosyshq_appnote_123_cv32e40x-p681.btor Timeout
yosyshq_appnote_123_cv32e40x-p658.btor Timeout
arbitrated_top_n4_w128_d64_e0.btor Timeout
picorv32_mutCX_nomem-p3.btor Timeout
ILA_Piccolo_LHU_sanity.btor Timeout
leader_election.3.prop1-back-serstep.btor Timeout
Problem16_label07.btor Timeout
qspiflash_dualflexpress_divfive-p007.btor Timeout
cal226.btor Timeout
vis_arrays_am2910_p2.btor 0.19
cal3.btor 0.45
cal33.btor 1.83
minepump_spec4_product16.cil.btor 3.88
cal27.btor 5.36
marlann_compute_cp_fail2-p1.btor 11.57
yosyshq_appnote_123_veer_axi-p05.btor Timeout
simple_alu.btor 0.05
a16-p126.btor 35.61
a10-p23.btor 3.38
vgasim_imgfifo-p105.btor 40.43
dspfilters_fastfir_second-p11.btor Timeout
qspiflash_qflexpress_divfive-p023.btor 3.80
yosyshq_appnote_123_cv32e40x-p512.btor 46.82
vis_arrays_bufferAlloc.btor Timeout
pgm_protocol.7.prop2-back-serstep.btor Timeout
Problem11_label48.btor Timeout
pc_sfifo_1.cil-2+token_ring.05.cil-2.btor 106.16
rast-p01.btor 0.31
qspiflash_dualflexpress_divthree-p164.btor 116.76
cal78.btor 158.44
picorv32-check-p06.btor 61.68
zipcpu-pfcache-p02.btor 607.00
zipversa_composecrc_prf-p22.btor 2.45
qspiflash_qflexpress_divfive-p051.btor 92.26
cal123.btor Timeout
sqrt_Newton_pseudoconstant.btor Timeout
yosyshq_appnote_123_cv32e40x-p724.btor Timeout
arbitrated_top_n2_w32_d128_e0.btor Timeout
lcm2_unwindbound50.btor Timeout
picorv32-check-p09.btor 42.82
qspiflash_qflexpress_divfive-p121.btor Timeout
ILA_Flute_SUB_sanity.btor Timeout
toy_lock_4.btor Timeout
msmie.3.prop1-func-interl.btor Timeout
lcm1_unwindbound2.btor Timeout
qspiflash_dualflexpress_divfive-p104.btor Timeout
Problem11_label40.btor Timeout
qspiflash_qflexpress_divfive-p063.btor Timeout
VexRiscv-regch0-15-p0.btor Timeout
yosyshq_appnote_123_cv32e40x-p033.btor Timeout
yosyshq_appnote_123_cv32e40x-p092.btor Timeout
jm2006.c.i.v+cfa-reducer.btor Timeout
qspiflash_dualflexpress_divthree-p081.btor Timeout
qspiflash_dualflexpress_divfive-p157.btor Timeout
yosyshq_appnote_123_cv32e40x-p097.btor Timeout
gen23.btor 1.16
cal10.btor 1.36
gen103.btor 1.05
yosyshq_appnote_123_cv32e40x-p201.btor Timeout
shift_register_top_w16_d64_e0.btor Timeout
cal9.btor 0.76
gen10.btor 0.21
cal75.btor 13.81
minepump_spec2_product07.cil.btor 14.43
arbitrated_top_n5_w128_d32_e0.btor Timeout
yosyshq_appnote_123_cv32e40x-p255.btor Timeout
pals_lcr.5_overflow.ufo.UNBOUNDED.pals+Problem12_label02.btor Timeout
cal229.btor Timeout
yosyshq_appnote_123_cv32e40x-p426.btor Timeout
picorv32-pcregs-p2.btor Timeout
picorv32-check-p12.btor 89.92
qspiflash_dualflexpress_divfive-p074.btor Timeout
qspiflash_dualflexpress_divfive-p137.btor 135.90
cal140.btor Timeout
digits_bad_for.btor Timeout
zipcpu-busdelay-p20.btor 188.42
qspiflash_dualflexpress_divthree-p054.btor 253.21
Problem17.btor Failed
qspiflash_qflexpress_divfive-p056.btor 111.43
qspiflash_dualflexpress_divthree-p048.btor 259.01
qspiflash_dualflexpress_divthree-p089.btor 635.97
qspiflash_dualflexpress_divthree-p068.btor Timeout
picorv32-pcregs-p0.btor Timeout
rast-p06.btor 0.78
qspiflash_dualflexpress_divthree-p159.btor 517.09
arbitrated_top_n2_w8_d128_e0.btor Timeout
zipcpu-zipmmu-p09.btor 11.95
picorv32_mutCY_nomem-p3.btor Timeout
qspiflash_qflexpress_divfive-p008.btor 1428.77
kalman_bit_width_small.btor 59.31
cal35.btor 25.64
yosyshq_appnote_123_cv32e40x-p587.btor Timeout
qspiflash_qflexpress_divfive-p128.btor Timeout
qspiflash_dualflexpress_divfive-p093.btor Timeout
arbitrated_top_n5_w32_d32_e0.btor Timeout
arbitrated_top_n3_w64_d64_e0.btor Timeout
Problem19_label00.btor Timeout
ILA_Piccolo_ADDI_problem.btor Timeout
yosyshq_appnote_123_cv32e40x-p056.btor Timeout
brp2.3.prop2-func-interl.btor Timeout
synapse.7.prop1-func-interl.btor Timeout
dspfilters_fastfir_second-p40.btor Timeout
arbitrated_top_n3_w16_d64_e0.btor Timeout
dspfilters_fastfir_second-p18.btor Timeout
qspiflash_dualflexpress_divthree-p011.btor 11.51
a16-p057.btor Timeout
zipcpu-busdelay-p00.btor Timeout
rast-p10.btor 2.44
cal143.btor 2896.37
a16-p018.btor Timeout
arbitrated_top_n4_w32_d32_e0.btor Timeout
rether.4.prop1-back-serstep.btor Timeout
cal234.btor Timeout
a16-p113.btor 0.48
yosyshq_appnote_123_veer-p15.btor 7.19
qspiflash_qflexpress_divfive-p112.btor 60.22
up.btor Timeout
cal89.btor Timeout
cal37.btor 35.46
picorv32-check-p17.btor 65.00
cancel_var_through_overflow.btor 1.41
brp2.3.prop1-back-serstep.btor Timeout
vgasim_imgfifo-p089.btor 188.03
zipcpu-busdelay-p15.btor 221.56
Problem02_label10.btor 149.51
qspiflash_dualflexpress_divthree-p030.btor Timeout
zipcpu-zipmmu-p00.btor 281.63
zipcpu-busdelay-p09.btor 0.06
ILA_Flute_SLL_problem.btor Timeout
yosyshq_appnote_123_cv32e40x-p418.btor Timeout
qspiflash_dualflexpress_divthree-p107.btor Timeout
dspfilters_fastfir_second-p10.btor Timeout
yosyshq_appnote_123_cv32e40x-p475.btor Timeout
cal206.btor Timeout
circular_pointer_top_w16_d32_e0.btor Timeout
zipcpu-pfcache-p13.btor 279.10
rast-p11.btor 12.31
qspiflash_dualflexpress_divfive-p079.btor 119.31
picorv32_mutAY_nomem-p7.btor Timeout
gen14.btor 0.23
