cal178.aig 0.04
gen25.aig 0.12
a16-p146.aig 0.12
zipversa_composecrc_prf-p00.aig 0.13
vis_arrays_am2910_p2.aig 0.03
rast-p03.aig 0.25
marlann_compute_cp_fail2-p1.aig 0.14
a16-p126.aig 0.33
cal3.aig 0.25
qspiflash_dualflexpress_divfive-p036.aig 0.68
qspiflash_dualflexpress_divthree-p075.aig 0.84
marlann_compute_cp_fail2-p0.aig 1.14
cal162.aig 1.25
minepump_spec3_product45.cil.aig 1.41
a19-p15.aig 1.83
float8.aig 2.09
a10-p35.aig 2.31
zipversa_composecrc_prf-p06.aig 2.70
qspiflash_dualflexpress_divthree-p158.aig 2.92
minepump_spec2_product54.cil.aig 3.30
dspfilters_fastfir_second-p24.aig 4.21
cal27.aig 4.48
pc_sfifo_1.cil-2+token_ring.05.cil-2.aig 4.51
cal33.aig 6.00
minepump_spec4_product16.cil.aig 5.76
cal182.aig 7.77
simple_alu.aig 0.01
qspiflash_dualflexpress_divfive-p112.aig 8.28
psyco_io_1.aig 9.54
a10-p23.aig 2.18
qspiflash_qflexpress_divfive-p023.aig 0.11
zipcpu-pfcache-p02.aig 1.91
qspiflash_qflexpress_divfive-p121.aig 11.95
cal78.aig 5.78
qspiflash_dualflexpress_divthree-p164.aig 7.31
yosyshq_appnote_123_cv32e40x-p413.aig 17.35
yosyshq_appnote_123_cv32e40x-p512.aig 17.57
yosyshq_appnote_123_cv32e40x-p167.aig 18.03
rast-p01.aig 0.32
vgasim_imgfifo-p105.aig 17.58
picorv32-check-p06.aig 6.29
qspiflash_dualflexpress_divfive-p133.aig 26.68
zipversa_composecrc_prf-p22.aig 0.17
qspiflash_dualflexpress_divfive-p135.aig 28.18
yosyshq_appnote_123_cv32e40x-p724.aig 32.12
qspiflash_qflexpress_divfive-p051.aig 7.70
yosyshq_appnote_123_cv32e40x-p681.aig 35.99
yosyshq_appnote_123_veer_axi-p32.aig 37.83
qspiflash_dualflexpress_divfive-p074.aig 28.85
gen102.aig 47.95
picorv32-check-p09.aig 2.94
qspiflash_dualflexpress_divthree-p061.aig 58.75
yosyshq_appnote_123_cv32e40x-p587.aig 36.78
cal123.aig 77.64
ILA_Piccolo_LHU_sanity.aig 80.69
qspiflash_qflexpress_divfive-p063.aig 82.16
cal10.aig 0.39
gen23.aig 4.45
qspiflash_qflexpress_divfive-p128.aig 39.20
gcd.aig 91.19
picorv32-check-p12.aig 7.68
qspiflash_dualflexpress_divfive-p137.aig 19.72
cal140.aig 84.40
cal131.aig 107.54
Problem16_label07.aig 107.78
brp2.3.prop2-func-interl.aig 11.07
cal75.aig 0.15
qspiflash_dualflexpress_divthree-p081.aig 127.98
gen103.aig 52.34
minepump_spec2_product07.cil.aig 3.88
cal9.aig 0.39
gen10.aig 0.16
qspiflash_dualflexpress_divthree-p089.aig 3.33
Problem17.aig Failed
zipcpu-busdelay-p00.aig 6.85
qspiflash_dualflexpress_divfive-p093.aig 152.26
qspiflash_dualflexpress_divthree-p068.aig 187.08
qspiflash_dualflexpress_divfive-p007.aig 229.20
rether.4.prop1-back-serstep.aig 32.96
qspiflash_dualflexpress_divthree-p054.aig 16.76
msmie.3.prop1-func-interl.aig 272.80
zipcpu-busdelay-p20.aig 1.71
dspfilters_fastfir_second-p07.aig 315.44
brp2.3.prop1-back-serstep.aig 37.03
qspiflash_dualflexpress_divthree-p048.aig 13.14
qspiflash_qflexpress_divfive-p008.aig 20.51
qspiflash_qflexpress_divfive-p056.aig 0.31
yosyshq_appnote_123_cv32e40x-p564.aig 391.80
qspiflash_dualflexpress_divthree-p030.aig 19.03
qspiflash_dualflexpress_divthree-p159.aig 1.44
cal89.aig 157.46
Problem19_label00.aig Failed
token_ring.03.cil-2.aig 481.34
rast-p06.aig 0.22
qspiflash_dualflexpress_divthree-p107.aig 115.40
cal143.aig 110.35
zipcpu-zipmmu-p09.aig 0.28
qspiflash_dualflexpress_divfive-p157.aig 630.53
synapse.7.prop1-func-interl.aig 661.89
kalman_bit_width_small.aig 1.01
cal35.aig 2.61
toy_lock_4.aig 853.80
a16-p018.aig 747.52
circular_pointer_top_w128_d8_e0.aig 988.16
yosyshq_appnote_123_cv32e40x-p475.aig 630.01
qspiflash_dualflexpress_divfive-p104.aig 1402.34
qspiflash_qflexpress_divfive-p112.aig 0.54
a16-p057.aig 1824.54
qspiflash_dualflexpress_divthree-p011.aig 1346.81
arbitrated_top_n4_w128_d16_e0.aig 2627.48
circular_pointer_top_w16_d32_e0.aig 2860.23
mono-crafted_8.aig Timeout
lcm2_unwindbound50.aig Timeout
dspfilters_fastfir_second-p28.aig Timeout
cal226.aig Timeout
vgasim_imgfifo-p036.aig Timeout
ILA_Flute_SUB_sanity.aig Timeout
dspfilters_fastfir_second-p11.aig Timeout
