yosyshq_appnote_123_cv32e40x-p320.aig 2.69
yosyshq_appnote_123_cv32e40x-p217.aig 2.71
vis_arrays_vsa16a_p6.aig 0.27
qspiflash_dualflexpress_divthree-p160.aig 1.57
yosyshq_appnote_123_cv32e40x-p512.aig 2.33
qspiflash_dualflexpress_divfive-p114.aig 7.02
yosyshq_appnote_123_cv32e40x-p334.aig 2.44
yosyshq_appnote_123_cv32e40x-p187.aig 3.09
phases_2-1.aig 2.49
Problem101_label01.aig 124.60
ILA_Flute_SLTI_sanity.aig Timeout
anderson.3.prop1-func-interl.aig 0.46
yosyshq_appnote_123_cv32e40x-p281.aig Timeout
yosyshq_appnote_123_cv32e40x-p753.aig Timeout
Problem05_label46+token_ring.12.cil-1.aig 29.64
ILA_Piccolo_BGEU_sanity.aig 49.61
yosyshq_appnote_123_cv32e40x-p665.aig 2.62
gen103.aig 0.35
rocket_2045.aig 40.85
yosyshq_appnote_123_cv32e40x-p418.aig Timeout
a16-p018.aig 181.07
picorv32_mutCX_nomem-p1.aig 36.76
a10-p34.aig 258.30
ILA_Ridecore_ANDI_sanity.aig 35.11
yosyshq_appnote_123_cv32e40x-p388.aig 2121.64
yosyshq_appnote_123_cv32e40x-p760.aig 2746.34
Problem11_label40.aig Timeout
yosyshq_appnote_123_cv32e40x-p156.aig 4.27
ILA_Piccolo_LHU_sanity.aig 9.77
yosyshq_appnote_123_cv32e40x-p545.aig Timeout
yosyshq_appnote_123_cv32e40x-p061.aig Timeout
yosyshq_appnote_123_cv32e40x-p365.aig Timeout
gcd_2+newton_3_7.aig 16.02
yosyshq_appnote_123_cv32e40x-p568.aig 28.29
Problem17.aig Failed
ridecore.aig 33.75
yosyshq_appnote_123_cv32e40x-p465.aig Timeout
yosyshq_appnote_123_cv32e40x-p599.aig Timeout
ILA_Piccolo_LW_sanity.aig 10.15
yosyshq_appnote_123_cv32e40x-p250.aig 2.16
rocket_1961.aig 21.53
arbitrated_top_n5_w128_d128_e0.aig 67.64
qspiflash_dualflexpress_divthree-p132.aig 0.13
dijkstra-u_valuebound1.aig 984.93
minepump_spec1_product14.cil.aig 0.38
zonotope_2.aig 35.41
token_ring.03.cil-2.aig 29.03
a16-p041.aig 0.28
Problem13_label23.aig 260.70
ILA_Ridecore_AND_sanity.aig 39.46
brp2.3.prop2-func-interl.aig 12.52
deep-nested.aig Timeout
picorv32-check-p09.aig 0.36
ILA_Flute_LB_problem.aig Timeout
yosyshq_appnote_123_cv32e40x-p413.aig 2.48
ILA_Ridecore_SLT_sanity.aig 36.36
yosyshq_appnote_123_cv32e40x-p246.aig Timeout
trex02-1.aig 0.14
a16-p126.aig 0.20
lcm2_unwindbound50.aig Timeout
a16-p057.aig 1487.46
yosyshq_appnote_123_cv32e40x-p502.aig 2.41
zipcpu-zipmmu-p27.aig 0.16
yosyshq_appnote_123_veer_axi-p32.aig 7.77
ILA_Piccolo_SW_sanity.aig 10.75
pgm_protocol.7.prop2-back-serstep.aig Timeout
up.aig Timeout
qspiflash_qflexpress_divfive-p093.aig 1.26
yosyshq_appnote_123_cv32e40x-p417.aig Timeout
zipcpu-busdelay-p10.aig 0.22
minepump_spec2_product54.cil.aig 1.99
ILA_Flute_AND_problem.aig Timeout
Problem16_label07.aig 20.15
vis_arrays_bpbs_p2.aig 0.13
VexRiscv-regch0-20-p1.aig 132.54
qspiflash_dualflexpress_divfive-p063.aig 2.56
a16-p128.aig 28.67
a16-p098.aig 0.37
analog_estimation_convergence_safe.aig 0.57
minepump_spec4_product16.cil.aig 0.46
h_Arbiter.aig 0.12
yosyshq_appnote_123_cv32e40x-p607.aig 16.82
mul9.aig 43.95
counter_bit_width_large.aig 113.33
yosyshq_appnote_123_cv32e40x-p574.aig 13.83
Problem18_label15.aig Timeout
yosyshq_appnote_123_cv32e40x-p573.aig 16.41
yosyshq_appnote_123_cv32e40x-p377.aig Timeout
a16-p102.aig 120.63
a07-p14.aig 42.60
yosyshq_appnote_123_veer-p31.aig Timeout
yosyshq_appnote_123_cv32e40x-p167.aig 2.43
jm2006.c.i.v+cfa-reducer.aig Timeout
a10-p06.aig 0.35
Problem11_label48.aig Timeout
yosyshq_appnote_123_veer-p28.aig 20.61
kalman_bit_width_small.aig 9.43
byte_add_1-1.aig 12.22
yosyshq_appnote_123_cv32e40x-p364.aig Timeout
qspiflash_dualflexpress_divfive-p027.aig 27.17
yosyshq_appnote_123_veer_axi-p62.aig 39.29
yosyshq_appnote_123_cv32e40x-p683.aig 2.22
qspiflash_dualflexpress_divthree-p119.aig 0.40
qspiflash_dualflexpress_divfive-p020.aig 0.14
yosyshq_appnote_123_veer_axi-p30.aig 8.82
sw_ball2004_2.aig 0.28
pc_sfifo_3.cil+token_ring.04.cil-1.aig 105.14
yosyshq_appnote_123_cv32e40x-p426.aig Timeout
yosyshq_appnote_123_cv32e40x-p131.aig 148.48
qspiflash_qflexpress_divfive-p025.aig 0.14
dspfilters_fastfir_second-p24.aig 0.56
zipcpu-zipmmu-p12.aig 0.37
yosyshq_appnote_123_cv32e40x-p359.aig 2.25
shift_register_top_w32_d64_e0.aig 281.12
a10-p23.aig 0.31
xepic_a17-p02.aig 2.90
cal235.aig Timeout
mod3.c.v+sep-reducer.aig 1.85
ILA_Flute_SW_problem.aig Timeout
